Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
spacer-D1A36_mgt10-D1A36_mgt11,2,3,0.0000%,100.0000%,1.00000000,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
spacer-D1A36_mgt11-COX1,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-D1A36_mgt12-D1A36_mgt13,2,9,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,22.2222%
spacer-D1A36_mgt14-ATP8,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-D1A36_mgt16-ND4L,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-D1A36_mgt17-D1A36_mgt18,2,6,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,16.6667%
spacer-D1A36_mgt18-D1A36_mgt19,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-D1A36_mgt20-CYTB,2,6,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,16.6667%
spacer-D1A36_mgt21-D1A36_mgt22,2,8,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.5000%
spacer-ND1-ND2,62,244,14.2914%,95.1613%,0.98374689,0.10429689,0.03837288,0.01350450,0.00017149,0.02486838,0.00042160,88.7097%,37.2204%
spacer-ND2-COX1,61,461,17.2149%,100.0000%,1.00000000,0.17353461,0.05784774,0.02054362,0.00033081,0.03730412,0.00060916,91.8033%,38.5653%
spacer-ND2-trnW,4,2,12.5000%,75.0000%,0.75000000,0.75000000,2.47374057,2.47373957,0.00000000,0.00000100,0.00000000,25.0000%,42.8571%
spacer-ND2-trnW_tca_,2,11,45.4545%,100.0000%,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,25.0000%
spacer-ND3-ND4L,62,80,12.3185%,90.3226%,0.96544891,0.15698043,0.05142796,0.02391913,0.00040014,0.02750883,0.00056689,72.5806%,23.0858%
spacer-ND3-trnR,14,2,42.8571%,28.5714%,0.50538350,0.46703297,1.38852030,1.38851994,0.30062332,0.00000036,0.00000003,35.7143%,18.7500%
spacer-ND3-trnR_tcg_,4,1,0.0000%,50.0000%,0.40563906,0.50000000,2.25000025,0.00000025,0.00000000,2.25000000,0.97427843,25.0000%,25.0000%
spacer-ND3-trnR_ucg,2,2,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-ND4-ND5,61,436,53.8352%,98.3607%,0.99447170,0.09054369,0.05335189,0.01637335,0.00020256,0.03697854,0.00063461,88.5246%,33.5560%
spacer-ND4-trnH,3,2,16.6667%,66.6667%,0.57938016,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,60.0000%
spacer-ND5-ND6,6,14,75.0000%,83.3333%,0.87104906,0.38571429,1.75212232,1.66669098,0.83332101,0.08543134,0.03183801,33.3333%,57.1429%
spacer-ND6-CYTB,62,78,5.8313%,88.7097%,0.94715092,0.15430040,0.03878861,0.01865468,0.00029128,0.02013392,0.00047708,72.5806%,30.4128%
spacer-ND6-trnE,6,3,0.0000%,50.0000%,0.48419626,0.28888889,0.33355232,0.13975280,0.06587998,0.19379952,0.05206637,33.3333%,38.8889%
spacer-Rnr1-TrnV,2,2,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-rrnL-trnL_uaa,2,22,22.7273%,100.0000%,1.00000000,0.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,44.1176%
spacer-rrnS-trnV_uac,2,9,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,22.2222%
spacer-trnA-trnN,20,9,78.8889%,50.0000%,0.66263599,0.22573099,0.17674198,0.10289992,0.01746758,0.07384207,0.01107623,30.0000%,28.9474%
spacer-trnA_tgc_-trnN_gtt_,7,5,54.2857%,85.7143%,0.89822652,0.48571429,1.57634089,0.07386704,0.00000000,1.50247385,0.49624125,14.2857%,31.2500%
spacer-trnC-trnY,5,3,40.0000%,100.0000%,1.00000000,0.60000000,1.56344315,0.22736890,0.00000000,1.33607425,0.53442930,20.0000%,44.4444%
spacer-trnC_gca-trnY_gua,2,1,0.0000%,100.0000%,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
spacer-trnC_gca_-trnY_gta_,3,3,22.2222%,100.0000%,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,42.8571%
spacer-trnD-COX2,15,1,0.0000%,20.0000%,0.31507398,0.56190476,1.29671757,0.64835878,0.18639000,0.64835878,0.16172906,20.0000%,60.0000%
spacer-trnD_gtc_-COX2,3,1,0.0000%,66.6667%,0.57938016,0.66666667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,66.6667%
spacer-trnD_guc-COX2,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-trnE-CYTB,21,7,36.0544%,57.1429%,0.74403749,0.42108844,0.10097582,0.05552940,0.00555533,0.04544641,0.00569715,33.3333%,30.8511%
spacer-trnE_ttc_-CYTB,8,8,45.3125%,87.5000%,0.91666667,0.36607143,0.32014722,0.11550438,0.02814395,0.20464284,0.03898891,50.0000%,22.8571%
spacer-trnE_uuc-CYTB,2,4,0.0000%,100.0000%,1.00000000,0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,12.5000%
spacer-trnF-mt_Rnr1,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,100.0000%
spacer-trnF-rrnS,5,2,40.0000%,40.0000%,0.31091751,0.20000000,0.00000060,0.00000020,0.00000010,0.00000040,0.00000010,20.0000%,83.3333%
spacer-trnF_gaa-rrnS,2,3,0.0000%,100.0000%,1.00000000,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,16.6667%
spacer-trnF_gaa_-trnV_tac_,2,963,0.5711%,100.0000%,1.00000000,0.11007269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.3890%
spacer-trnG-ND3,2,23,0.0000%,100.0000%,1.00000000,0.21739130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.9565%
spacer-trnH_gtg_-trnS1_gct_,2,3,0.0000%,100.0000%,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
spacer-trnK-ATP8,14,2,28.5714%,42.8571%,0.61062417,0.57692308,0.84245188,0.71477677,0.24991932,0.12767511,0.02233860,35.7143%,55.0000%
spacer-trnK_ttt_-ATP8,6,2,25.0000%,66.6667%,0.69342640,0.73333333,3.50717259,1.68789619,0.75363117,1.81927640,0.60078866,50.0000%,33.3333%
spacer-trnL-ND1,2,4,0.0000%,100.0000%,1.00000000,0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,87.5000%
spacer-trnL1_tag_-ND5,4,6,20.8333%,100.0000%,1.00000000,0.52777778,0.10911326,0.00000000,nan,0.10911326,0.02752677,0.0000%,10.5263%
spacer-trnL2_taa_-ND1,3,4,16.6667%,100.0000%,1.00000000,0.33333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
spacer-trnL_uaa-ND1,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
spacer-trnL_UUR_-ND1,6,3,5.5556%,33.3333%,0.25146300,0.11111111,0.00000050,0.00000017,0.00000008,0.00000033,0.00000008,16.6667%,0.0000%
spacer-trnN-trnC,21,33,4.6176%,66.6667%,0.76526672,0.27546898,0.05262789,0.03431717,0.00310822,0.01831072,0.00176171,42.8571%,58.6233%
spacer-trnN_gtt_-trnC_gca_,8,33,4.1667%,100.0000%,1.00000000,0.22294372,0.10436831,0.05321304,0.00566028,0.05115526,0.00620853,62.5000%,55.7312%
spacer-trnN_guu-trnC_gca,2,36,1.3889%,100.0000%,1.00000000,0.05555556,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,49.2958%
spacer-trnQ-trnM,15,4,38.3333%,80.0000%,0.89761679,0.70476190,0.95682637,0.76956385,0.27438324,0.18726252,0.04137702,26.6667%,27.0270%
spacer-trnQ_ttg_-trnM_cat_,7,7,57.1429%,85.7143%,0.89822652,0.50340136,1.65543816,1.42865283,0.67341573,0.22678533,0.05126708,42.8571%,23.8095%
spacer-trnQ_uug-trnM_cau,2,3,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.3333%
spacer-trnR-ND4L,18,3,46.2963%,44.4444%,0.63348961,0.45969499,0.19409015,0.15579258,0.02455185,0.03829758,0.00877219,27.7778%,13.7931%
spacer-trnR_tcg_-ND4L,7,6,66.6667%,85.7143%,0.89822652,0.42063492,2.99655584,1.49843119,0.67935560,1.49812465,0.49641974,28.5714%,42.8571%
spacer-trnS-trnD,3,7,28.5714%,100.0000%,1.00000000,0.42857143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.6667%
spacer-trnS1-trnD,7,3,0.0000%,42.8571%,0.49113259,0.22222222,0.13775387,0.10995717,0.02985111,0.02779670,0.00972664,42.8571%,14.2857%
spacer-trnS2-trnD,5,3,0.0000%,40.0000%,0.41816566,0.20000000,0.18377642,0.18377582,0.09188771,0.00000060,0.00000010,40.0000%,20.0000%
spacer-trnS2_tga_-trnD_gtc_,8,9,55.5556%,62.5000%,0.71854635,0.30158730,0.75857290,0.36864806,0.17133285,0.38992484,0.11993542,37.5000%,3.1250%
spacer-trnS_UCN_-trnD,6,17,43.1373%,100.0000%,1.00000000,0.38431373,0.19704315,0.08125749,0.00000000,0.11578566,0.02237388,16.6667%,32.7586%
spacer-trnS_uga-trnD_guc,2,2,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
spacer-trnT-trnP,8,14,62.5000%,100.0000%,1.00000000,0.51785714,1.59300297,1.48815522,0.51034967,0.10484775,0.02342612,37.5000%,38.0952%
spacer-trnT_tgt_-trnP_tgg_,6,12,48.6111%,100.0000%,1.00000000,0.57777778,3.12958162,0.39592796,0.09787431,2.73365366,0.66645202,50.0000%,51.3514%
spacer-trnV_tac_-trnL2_taa_,2,1578,0.7605%,100.0000%,1.00000000,0.17617237,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.4521%
spacer-trnV_uac-rrnL,2,43,1.1628%,100.0000%,1.00000000,0.04651163,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,27.0588%
spacer-trnW-trnA,20,13,80.0000%,55.0000%,0.64680897,0.26356275,0.94383187,0.85368208,0.14792311,0.09014979,0.01352603,30.0000%,25.0000%
spacer-trnW_tca_-trnA_tgc_,7,3,23.8095%,85.7143%,0.89822652,0.71428571,1.54140566,1.39578924,0.57777177,0.14561642,0.03311395,28.5714%,25.0000%
spacer-trnW_uca-trnA_ugc,2,2,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,50.0000%
spacer-trnY-COX1,20,6,60.8333%,35.0000%,0.48161290,0.38157895,0.04685927,0.01818971,0.00353070,0.02866955,0.00352197,20.0000%,27.6596%
spacer-trnY_gta_-COX1,7,8,48.2143%,57.1429%,0.65626579,0.50000000,0.06908008,0.03337403,0.01668687,0.03570605,0.01249428,28.5714%,34.4828%
spacer-trnY_gua-COX1,2,1,0.0000%,50.0000%,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0.0000%
tRNA-trnA,21,69,0.0000%,100.0000%,1.00000000,0.14133885,0.05785597,0.02619790,0.00156975,0.03165807,0.00196727,76.1905%,33.4714%
tRNA-tRNA_Ala,283,78,11.3527%,81.6254%,0.94764674,0.16807457,0.03578922,0.01575306,0.00006868,0.02003616,0.00010832,64.3110%,34.2805%
tRNA-tRNA_Arg,283,87,21.9691%,82.6855%,0.94781610,0.14632236,0.03210584,0.01473100,0.00005289,0.01737484,0.00009854,65.3710%,23.4281%
tRNA-tRNA_Asn,282,87,17.0783%,85.1064%,0.95401629,0.15712555,0.02959245,0.01393541,0.00006337,0.01565704,0.00007800,64.5390%,36.4063%
tRNA-tRNA_Asp,283,79,13.1547%,86.2191%,0.96056560,0.15189715,0.03167823,0.01466162,0.00006601,0.01701661,0.00008739,67.4912%,21.5583%
tRNA-tRNA_Cys,283,81,17.3058%,79.5053%,0.93676681,0.22068331,0.02852719,0.01332883,0.00008044,0.01519836,0.00008643,62.1908%,41.8561%
tRNA-tRNA_Gln,282,87,17.8813%,90.7801%,0.97287361,0.16840106,0.04239951,0.01892705,0.00007192,0.02347246,0.00010853,68.7943%,37.8059%
tRNA-tRNA_Glu,283,75,8.0047%,74.2049%,0.91389025,0.13332398,0.02104830,0.01035772,0.00005538,0.01069058,0.00007169,53.3569%,30.7065%
tRNA-tRNA_Gly,283,77,10.4997%,93.6396%,0.98281531,0.27700648,0.05860181,0.02642044,0.00010490,0.03218137,0.00013481,75.9717%,34.0986%
tRNA-tRNA_His,283,79,13.4320%,86.9258%,0.96224647,0.19709853,0.04589188,0.02011757,0.00007054,0.02577431,0.00013472,70.6714%,27.2876%
tRNA-tRNA_Ile,282,71,2.8918%,60.9929%,0.85747228,0.06652220,0.01063854,0.00572342,0.00003512,0.00491512,0.00003485,49.2908%,27.8352%
tRNA-tRNA_Leu,282,87,13.8705%,64.8936%,0.86204490,0.13123773,0.02193545,0.01072382,0.00014567,0.01121163,0.00014464,46.8085%,41.4202%
tRNA-tRNA_Lys,283,80,18.3083%,86.9258%,0.95913955,0.20958888,0.04402298,0.01941070,0.00007284,0.02461229,0.00012331,68.5512%,33.7375%
tRNA-tRNA_Met,283,81,14.6229%,45.9364%,0.75540626,0.06425799,0.00873162,0.00432736,0.00003368,0.00440426,0.00003692,33.9223%,45.6722%
tRNA-tRNA_Phe,282,83,18.4611%,88.2979%,0.96557413,0.15926932,0.03600161,0.01686369,0.00006858,0.01913791,0.00017988,67.0213%,32.8439%
tRNA-tRNA_Pro,283,81,16.7168%,87.2792%,0.95866084,0.21632428,0.04384283,0.02014166,0.00008872,0.02370117,0.00011501,68.1979%,39.8211%
tRNA-tRNA_Ser,282,84,17.9247%,68.7943%,0.88464460,0.12122810,0.02252336,0.01303994,0.00020145,0.00948342,0.00005913,53.9007%,41.0246%
tRNA-trnA_tgc_,8,72,3.6458%,100.0000%,1.00000000,0.19940476,0.11283838,0.02479387,0.00103573,0.08804452,0.00733681,62.5000%,34.2342%
tRNA-tRNA_Thr,283,105,35.1472%,95.4064%,0.98773735,0.18242858,0.05462130,0.02636044,0.00009211,0.02826087,0.00013048,80.5654%,35.5119%
tRNA-tRNA_Trp,283,76,11.6003%,85.5124%,0.95258692,0.20881922,0.03708963,0.01704020,0.00006406,0.02004942,0.00011422,68.5512%,36.4711%
tRNA-tRNA_Tyr,283,90,24.5662%,82.3322%,0.94564531,0.13500684,0.02835731,0.01279899,0.00007622,0.01555832,0.00008839,56.8905%,38.3620%
tRNA-trnA_ugc,2,69,0.0000%,100.0000%,1.00000000,0.04347826,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6087%
tRNA-tRNA_Val,283,84,18.0338%,90.1060%,0.96819743,0.22294660,0.04993211,0.02396990,0.00009569,0.02596221,0.00010282,73.4982%,40.0911%
tRNA-trnC,21,70,3.9456%,100.0000%,1.00000000,0.26863946,0.07575850,0.04749476,0.00243736,0.02826374,0.00174514,85.7143%,41.7139%
tRNA-trnC_gca,2,66,0.0000%,100.0000%,1.00000000,0.01515152,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,49.2424%
tRNA-trnC_gca_,9,71,5.0078%,88.8889%,0.92989669,0.23669797,0.09773347,0.05549734,0.00814281,0.04223613,0.00408041,66.6667%,41.1862%
tRNA-trnD,21,70,2.4490%,90.4762%,0.94845017,0.16061224,0.06457706,0.02101204,0.00137948,0.04356502,0.00327832,66.6667%,23.0823%
tRNA-trnD_gtc_,8,71,4.0493%,100.0000%,1.00000000,0.19466801,0.08450428,0.03990829,0.00327719,0.04459599,0.00278716,62.5000%,22.5688%
tRNA-trnD_guc,2,69,0.0000%,100.0000%,1.00000000,0.08695652,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,17.3913%
tRNA-trnE,21,69,0.5521%,90.4762%,0.95663424,0.15693582,0.04135473,0.02164811,0.00092525,0.01970662,0.00143226,61.9048%,32.5468%
tRNA-trnE_ttc_,8,69,0.1812%,100.0000%,1.00000000,0.16511387,0.08521698,0.02391993,0.00202451,0.06129705,0.00453853,62.5000%,31.0345%
tRNA-trnE_uuc,2,69,0.0000%,100.0000%,1.00000000,0.01449275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.2609%
tRNA-trnF,21,75,8.7619%,95.2381%,0.97831712,0.16019048,0.05087050,0.02118732,0.00075532,0.02968318,0.00143725,76.1905%,34.6555%
tRNA-trnF_gaa,2,67,0.0000%,100.0000%,1.00000000,0.08955224,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.8209%
tRNA-trnF_gaa_,9,72,6.9444%,100.0000%,1.00000000,0.14004630,0.06177168,0.02125874,0.00125447,0.04051294,0.00538616,66.6667%,32.5041%
tRNA-trnG,21,72,4.5635%,100.0000%,1.00000000,0.22248677,0.07645808,0.04251649,0.00121210,0.03394159,0.00194754,85.7143%,34.0956%
tRNA-trnG_tcc_,8,70,1.9643%,100.0000%,1.00000000,0.27295918,0.17265202,0.04421757,0.00294922,0.12843445,0.01061397,62.5000%,32.6047%
tRNA-trnG_ucc,2,69,0.0000%,100.0000%,1.00000000,0.02898551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.4348%
tRNA-trnH,21,70,2.8571%,100.0000%,1.00000000,0.19469388,0.07339588,0.03533257,0.00216814,0.03806331,0.00202715,71.4286%,28.7115%
tRNA-trnH_gtg_,8,70,1.7857%,100.0000%,1.00000000,0.24336735,0.13604713,0.05033119,0.00641946,0.08571594,0.00955535,62.5000%,26.1818%
tRNA-trnH_gug,2,67,0.7463%,100.0000%,1.00000000,0.07462687,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,23.3083%
tRNA-trnI,22,69,0.1976%,95.4545%,0.97961420,0.06662902,0.02775271,0.00872367,0.00046569,0.01902904,0.00087325,50.0000%,27.5248%
tRNA-trnI_gat_,7,69,1.0352%,100.0000%,1.00000000,0.08281573,0.03493590,0.01273197,0.00151522,0.02220393,0.00359038,42.8571%,27.8243%
tRNA-trnI_gau,2,69,0.0000%,100.0000%,1.00000000,0.05797101,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.9855%
tRNA-trnK,21,82,19.8026%,100.0000%,1.00000000,0.21579559,0.10094677,0.05075393,0.00192108,0.05019284,0.00233755,80.9524%,35.8798%
tRNA-trnK_ttt_,8,69,3.9855%,100.0000%,1.00000000,0.28002070,0.16178086,0.07332329,0.00754177,0.08845757,0.00441766,62.5000%,33.0189%
tRNA-trnL,3,75,0.4444%,100.0000%,1.00000000,0.13777778,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,43.7500%
tRNA-trnL1,13,77,5.3946%,92.3077%,0.95842490,0.35880786,0.29407113,0.28229090,0.09660507,0.01178023,0.00131081,53.8462%,41.4995%
tRNA-trnL1_tag_,8,72,2.4306%,100.0000%,1.00000000,0.09027778,0.04121873,0.01000894,0.00087759,0.03120979,0.00342207,50.0000%,33.4520%
tRNA-trnL2,14,95,23.3835%,71.4286%,0.83575235,0.40080972,0.08631058,0.06700756,0.01987417,0.01930302,0.00351678,50.0000%,37.8803%
tRNA-trnL2_taa_,7,76,1.5038%,100.0000%,1.00000000,0.16791980,0.08874480,0.03763670,0.00419445,0.05110810,0.00679008,57.1429%,40.4580%
tRNA-trnL_CUN_,6,70,0.0000%,83.3333%,0.87104906,0.03619048,0.01723281,0.00242749,0.00000000,0.01480532,0.00287409,16.6667%,33.0952%
tRNA-trnL_uaa,2,75,0.0000%,100.0000%,1.00000000,0.02666667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.0000%
tRNA-trnL_uag,2,70,0.0000%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.1429%
tRNA-trnL_UUR_,6,76,0.8772%,100.0000%,1.00000000,0.08070175,0.03973029,0.01534085,0.00247237,0.02438944,0.00354741,50.0000%,39.3805%
tRNA-trnM,21,70,1.6327%,85.7143%,0.92676729,0.06040816,0.01838457,0.00608036,0.00045801,0.01230420,0.00069892,42.8571%,44.8824%
tRNA-trnM_cat_,8,70,1.4286%,100.0000%,1.00000000,0.05102041,0.01856343,0.00928960,0.00083799,0.00927383,0.00129821,50.0000%,44.5652%
tRNA-trnM_cau,2,70,0.0000%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,46.4286%
tRNA-trnN,21,74,3.6036%,90.4762%,0.94845017,0.15437580,0.04518565,0.02222897,0.00081589,0.02295669,0.00152579,66.6667%,36.2483%
tRNA-trnN_gtt_,8,74,2.7027%,100.0000%,1.00000000,0.19980695,0.10750845,0.04589132,0.00464427,0.06161713,0.00831860,62.5000%,36.9792%
tRNA-trnN_guu,2,73,0.0000%,100.0000%,1.00000000,0.01369863,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,42.4658%
tRNA-trnP,21,73,8.1539%,100.0000%,1.00000000,0.19791259,0.07358843,0.04369671,0.00195289,0.02989172,0.00133162,80.9524%,40.8381%
tRNA-trnP_tgg_,8,70,3.0357%,100.0000%,1.00000000,0.34642857,0.21588201,0.11418955,0.01009813,0.10169246,0.00784348,62.5000%,41.9890%
tRNA-trnP_ugg,2,65,0.0000%,100.0000%,1.00000000,0.07692308,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.2308%
tRNA-trnQ,21,76,5.5138%,95.2381%,0.97831712,0.19385965,0.06996037,0.03915534,0.00218545,0.03080502,0.00230177,80.9524%,38.7931%
tRNA-trnQ_ttg_,8,73,2.0548%,100.0000%,1.00000000,0.21037182,0.12132151,0.03804603,0.00423179,0.08327548,0.00495440,62.5000%,37.9371%
tRNA-trnQ_uug,2,71,0.0000%,100.0000%,1.00000000,0.02816901,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.0282%
tRNA-trnR,21,71,4.5607%,95.2381%,0.97831712,0.14708249,0.05353023,0.02942944,0.00180913,0.02410079,0.00182076,76.1905%,25.0878%
tRNA-trnR_tcg_,8,73,6.5068%,100.0000%,1.00000000,0.19373777,0.09347415,0.02140576,0.00115405,0.07206839,0.00574849,62.5000%,22.3443%
tRNA-trnR_ucg,2,70,0.7143%,100.0000%,1.00000000,0.01428571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,27.3381%
tRNA-trnS,3,69,0.9662%,100.0000%,1.00000000,0.13043478,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,43.9024%
tRNA-trnS1,13,71,8.0173%,92.3077%,0.95842490,0.32990249,0.09868226,0.07637899,0.02048192,0.02230328,0.00287327,53.8462%,41.6961%
tRNA-trnS1_gct_,8,64,6.4453%,100.0000%,1.00000000,0.31082589,0.22054789,0.06524099,0.00481645,0.15530690,0.01819457,62.5000%,38.2046%
tRNA-trnS2,13,71,11.3759%,84.6154%,0.91684980,0.31455399,0.08115564,0.06050506,0.01267825,0.02065058,0.00264954,69.2308%,39.2421%
tRNA-trnS2_tga_,8,70,1.4286%,100.0000%,1.00000000,0.16275510,0.07387006,0.03293804,0.00423719,0.04093202,0.00323904,62.5000%,40.2174%
tRNA-trnS_AGY_,6,61,2.1858%,100.0000%,1.00000000,0.12131148,0.05460631,0.01230615,0.00173609,0.04230016,0.00505126,50.0000%,34.3575%
tRNA-trnS_gcu,2,60,0.0000%,100.0000%,1.00000000,0.03333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.0000%
tRNA-trnS_UCN_,6,69,0.0000%,100.0000%,1.00000000,0.05507246,0.02763937,0.00506191,0.00092105,0.02257747,0.00192299,50.0000%,42.9952%
tRNA-trnS_uga,2,69,0.0000%,100.0000%,1.00000000,0.01449275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.4058%
tRNA-trnT,21,70,3.6054%,100.0000%,1.00000000,0.23775510,0.09727186,0.05037523,0.00232758,0.04689663,0.00197446,80.9524%,35.7092%
tRNA-trnT_tgt_,8,77,10.7143%,100.0000%,1.00000000,0.32096475,0.20501578,0.06415007,0.00406886,0.14086571,0.00956155,62.5000%,37.9091%
tRNA-trnT_ugu,2,68,0.7353%,100.0000%,1.00000000,0.08823529,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.7778%
tRNA-trnV,21,76,10.4637%,95.2381%,0.97831712,0.20908521,0.07532271,0.02969366,0.00139431,0.04562904,0.00186503,76.1905%,43.3170%
tRNA-trnV_tac_,8,74,7.0946%,100.0000%,1.00000000,0.28812741,0.17465346,0.07333734,0.00278907,0.10131612,0.00636816,62.5000%,40.5455%
tRNA-trnV_uac,2,66,0.0000%,100.0000%,1.00000000,0.04545455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.9091%
tRNA-trnW,21,71,5.9021%,95.2381%,0.97831712,0.17927565,0.05410347,0.03247889,0.00219571,0.02162458,0.00166505,80.9524%,37.9900%
tRNA-trnW_tca_,8,70,4.4643%,100.0000%,1.00000000,0.27295918,0.13530185,0.04980973,0.00878449,0.08549212,0.00631822,62.5000%,38.3178%
tRNA-trnW_uca,2,69,0.0000%,100.0000%,1.00000000,0.02898551,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.7826%
tRNA-trnY,21,73,8.4149%,95.2381%,0.97831712,0.14938030,0.04801807,0.01912449,0.00061735,0.02889358,0.00179741,61.9048%,39.2450%
tRNA-trnY_gta_,8,72,7.4653%,100.0000%,1.00000000,0.13988095,0.05289277,0.01517444,0.00155304,0.03771833,0.00468835,62.5000%,38.6492%
tRNA-trnY_gua,2,67,0.7463%,100.0000%,1.00000000,0.05970149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.3383%
D-loop,100,0,0%,100.0000%,1.00000000,0.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,0%
